link_text,url_href
Cement,https://www.indiamart.com/proddetail/cement-2853618138597.html?pos=6&kwd=cement&tags=rk:A|plc:1|dt:1358|db:28|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|ri:S_A_G250_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4|r=3
KLG Ecolite,https://www.klgecolite.in/?pos=6&kwd=cement&tags=rk:A|plc:1|dt:1358|db:28|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|ri:S_A_G250_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4
★★★★★★★★★★3.9(1661),https://www.klgecolite.in/testimonial.html#reviewsratings
Birla SakthiCement,https://www.indiamart.com/proddetail/birla-sakthi-cement-24617494330.html?pos=7&kwd=cement&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4|r=4
Tharun Traders,https://www.indiamart.com/tharuntraders-chennai/?pos=7&kwd=cement&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4
★★★★★★★★★★4(6),https://www.indiamart.com/tharuntraders-chennai/testimonial.html#reviewsratings
"50 Kg Coromandel KingCement, Grade: 53 Grade",https://www.indiamart.com/proddetail/50-kg-coromandel-king-cement-2857159818462.html?pos=8&kwd=cement&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4|r=4
Sri Amman Agencies,https://www.indiamart.com/sriammanagencies/?pos=8&kwd=cement&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4
★★★★★★★★★★4.6(5),https://www.indiamart.com/sriammanagencies/testimonial.html#reviewsratings
UltraTech 43 GradeCement,https://www.indiamart.com/proddetail/ultratech-43-grade-cement-2856399691097.html?pos=9&kwd=cement&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|ri:M_A_0_P-|-res:RC4|ktp:N0|stype:attr=1|mtp:G|wc:1|lcf:3|cq:chennai|qr_nm:gl-gd|cs:15721|com-cf:nl|ptrs:na|mc:119126|cat:53|qry_typ:P|lang:en|rtn:0-0-0-0-4-5-1|tyr:1|qrd:250826|mrd:250718|prdt:250826|pfen:1|gli:G0I1|v=4|r=5
