search_query,href,title
Basic Trim Materials,https://www.indiamart.com/proddetail/fly-ash-bricks-in-pollachi-2854440496933.html?pos=8&kwd=basic%20trim%20materials&tags=rk:T||dt:16|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:splt|ri:T_T_50_NP-|-res:RC6|ktp:N0|mtp:SP|wc:3|lcf:3|cq:perundurai|qr_nm:gl-splt-gd|cs:16774|com-cf:nl|ptrs:na|mc:5422|cat:643|qry_typ:P|lang:en|rtn:1-0-1-0-0-8-0|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|gli:G0I1|v=4|crs=glb|r=4,Fly Ash Bricks in Pollachi
Basic Trim Materials,https://www.indiamart.com/proddetail/dura-board-hd-100-21608353688.html?pos=9&kwd=basic%20trim%20materials&tags=rk:T|plc:1|dt:32|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:splt|ri:T_T_50_P-|-res:RC6|ktp:N0|mtp:SP|wc:3|lcf:3|cq:perundurai|qr_nm:gl-splt-gd|cs:16774|com-cf:nl|ptrs:na|mc:5422|cat:643|qry_typ:P|lang:en|rtn:1-0-1-0-0-8-0|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|gli:G0I1|v=4|crs=glb|r=4,"Black PE Dura Board Hd 100, Size: Large, Thickness: 5-50mm"
Basic Trim Materials,https://www.indiamart.com/proddetail/rectangular-red-perforated-clay-brick-2852623989097.html?pos=10&kwd=basic%20trim%20materials&tags=rk:T||dt:45|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:splt|ri:T_T_50_NP-|-res:RC6|ktp:N0|mtp:SP|wc:3|lcf:3|cq:perundurai|qr_nm:gl-splt-gd|cs:16774|com-cf:nl|ptrs:na|mc:5422|cat:643|qry_typ:P|lang:en|rtn:1-0-1-0-0-8-0|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|gli:G0I1|v=4|crs=glb|r=4,"Rectangular Red Perforated Clay Brick, 9 in x 4 in x 3 in"
Basic Trim Materials,https://www.indiamart.com/shri-maliamman-hellowblock/?pos=10&kwd=basic%20trim%20materials&tags=rk:T||dt:45|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:splt|ri:T_T_50_NP-|-res:RC6|ktp:N0|mtp:SP|wc:3|lcf:3|cq:perundurai|qr_nm:gl-splt-gd|cs:16774|com-cf:nl|ptrs:na|mc:5422|cat:643|qry_typ:P|lang:en|rtn:1-0-1-0-0-8-0|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ls|gli:G0I1|v=4|crs=glb,Shri Maliamman Hellow Block
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/weatherproof-exterior-emulsion-paint-2852775010412.html?pos=1&kwd=weather%20resistant%20finishes&tags=rk:B||dt:81|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=4,"Weatherproof Exterior Emulsion Paint, Packaging Size: 4L"
Weather-Resistant Finishes,https://www.indiamart.com/amsun-paints/?pos=1&kwd=weather%20resistant%20finishes&tags=rk:B||dt:81|db:02|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|ri:T_B_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,Amsun Paints
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/asian-paints-tractor-emulsion-27430207097.html?pos=2&kwd=weather%20resistant%20finishes&tags=rk:TS||dt:32|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_TS_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,"Asian Paints Tractor Emulsion, 20L"
Weather-Resistant Finishes,https://www.indiamart.com/shree-traderstiruppur/?pos=2&kwd=weather%20resistant%20finishes&tags=rk:TS||dt:32|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|ri:VGP_TS_50_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,Shree Traders
Weather-Resistant Finishes,https://www.indiamart.com/proddetail/4l-asian-apex-ultima-weather-proof-emulsion-paint-2851545414748.html?pos=3&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city|r=5,"4L Asian Apex Ultima Weather Proof Emulsion Paint, 5 ltr"
Weather-Resistant Finishes,https://www.indiamart.com/sabita-company/?pos=3&kwd=weather%20resistant%20finishes&tags=rk:T||dt:74|db:02|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|ri:M_T_100_NP-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:perundurai|qr_nm:gl-gd|cs:18684|com-cf:nl|ptrs:na|mc:27799|cat:202|qry_typ:P|lang:en|rtn:4-0-0-0-1-4-1|tyr:3|qrd:250829|mrd:250829|prdt:250829|msf:ms|pfen:1|gli:G0I1|v=4|crs=xnh-city,Sabita & Company
